Genus_Species_Steenwyk2018	Genus_Species_Shen2018	Genus_Species_Shen2016	Strain_Peter2018
Aspergillus_hancockii	Debaryomyces_hansenii	Schizosaccharomyces_pombe	SACE_YDO
Aspergillus_candidus	Cyberlindnera_americana	Arthrobotrys_oligospora	SACE_YDF
Aspergillus_campestris	Candida_mycetangii	Neurospora_crassa	SACE_YBY
Aspergillus_taichungensis	Cyberlindnera_petersonii	Fusarium_graminearum	BLQ
Aspergillus_terreus	Cyberlindnera_fabianii	Geotrichum_candidum_3C	BKK
Penicillium_steckii	Cyberlindnera_xylosilytica	Botrytis_cinerea	BIB
Penicillium_citrinum	Cyberlindnera_jadinii	Sclerotinia_sclerotiorum	BKL
Penicillium_paxilli	Candida_vartiovaarae	Stagonospora_nodorum	BIA
Penicillium_sclerotiorum	Cyberlindnera_maclurae	Aspergillus_nidulans	BKT
Penicillium_oxalicum	Cyberlindnera_misumaiensis	Xylona_heveae	BLA
Penicillium_brasilianum	Cyberlindnera_mrakii	Lipomyces_starkeyi	BNE
Penicillium_subrubescens	Cyberlindnera_saturnus	Tortispora_caseinolytica	BHV
Penicillium_janthinellum	Cyberlindnera_suaveolens	Nadsonia_fulvescens	AGI
Penicillium_decumbens	Candida_freyschussii	Yarrowia_lipolytica	BID
Penicillium_camemberti	Wickerhamomyces_hampshirensis	Arxula_adeninivorans	APT
Penicillium_biforme	Wickerhamomyces_canadensis	Candida_apicola	BQT
Penicillium_fuscoglaucum	Candida_azyma	Starmerella_bombicola	BPH
Penicillium_polonicum	Wickerhamomyces_alni	Geotrichum_candidum_CLIB918	BPG
Penicillium_solitum	Barnettozyma_pratensis	Saprochaete_clavata	BKQ
Penicillium_freii	Barnettozyma_salicaria	Babjeviella_inositovora	BPK
Penicillium_nordicum	Phaffomyces_thermotolerans	Candida_tenuis	BNL
Penicillium_verrucosum	Candida_orba	Hyphopichia_burtonii	BLR
Penicillium_digitatum	Phaffomyces_opuntiae	Candida_auris	BPF
Penicillium_italicum	Phaffomyces_antillensis	Clavispora_lusitaniae	AQR
Penicillium_expansum	Candida_montana	Metschnikowia_bicuspidata	AIF
Penicillium_carneum	Barnettozyma_californica	Metschnikowia_fructicola	BLT
Penicillium_roqueforti	Barnettozyma_populi	Candida_tanzawaensis	BQR
Penicillium_paneum	Barnettozyma_hawaiiensis	Scheffersomyces_stipitis	AIN
Penicillium_rubens	Wickerhamomyces_bovis	Spathaspora_arborariae	BQE
Penicillium_chrysogenum	Wickerhamomyces_ciferrii	Spathaspora_passalidarum	BQS
Penicillium_flavigenum	Wickerhamomyces_anomalus	Candida_maltosa	BFK
Penicillium_nalgiovense	Starmera_amethionina	Candida_sojae	BQM
Penicillium_vulpinum	Candida_stellimalicola	Candida_tropicalis	BPT
Penicillium_griseofulvum	Starmera_quercuum	Candida_dubliniensis	BPB
Penicillium_coprophilum	Candida_ponderosae	Candida_albicans	BNV
Penicillium_antarcticum	Eremothecium_coryli	Lodderomyces_elongisporus	ABQ
Penicillium_capsulatum	Eremothecium_sinecaudum	Candida_parapsilosis	ABR
Penicillium_arizonense	Eremothecium_cymbalariae	Candida_orthopsilosis	BKI
Xeromyces_bisporus	Eremothecium_gossypii	Debaryomyces_hansenii	SACE_YAM
Monascus_ruber	Ashbya_aceri	Meyerozyma_guilliermondii	ABE
Talaromyces_occitanis	Kluyveromyces_lactis	Meyerozyma_caribbica	AGL
Talaromyces_marneffei	Kluyveromyces_dobzhanskii	Pachysolen_tannophilus	BFC
Basipetospora_chlamydospora	Kluyveromyces_marxianus	Komagataella_pastoris	SACE_YDN
Trichoderma_reesei	Kluyveromyces_aestuarii	Kuraishia_capsulata	SACE_YDL
Neurospora_crassa	Lachancea_nothofagi	Candida_boidinii	ABC
Uncinocarpus_reesii	Lachancea_meyersii	Dekkera_bruxellensis	SACE_YBM
Coccidioides_posadasii	Lachancea_fantastica	Brettanomyces_anomalus	SACE_YDK
Coccidioides_immitis	Lachancea_lanzarotensis	Pichia_membranifaciens	SACE_YCK
Microsporum_canis	Lachancea_dasiensis	Pichia_kudriavzevii	SACE_YCJ
Trichophyton_rubrum	Lachancea_quebecensis	Candida_arabinofermentans	CEL
Paracoccidioides_brasiliensis	Lachancea_thermotolerans	Hansenula_polymorpha	CEK
Histoplasma_capsulatum	Lachancea_waltii	Ogataea_parapolymorpha	BEF
Penicilliopsis_zonata	Lachancea_mirantina	Ascoidea_rubescens	BHS
Aspergillus_chevalieri	Lachancea_fermentati	Wickerhamomyces_ciferrii	BHR
Aspergillus_cristatus	Lachancea_cidri	Wickerhamomyces_anomalus	BHQ
Aspergillus_ruber	Lachancea_kluyveri	Cyberlindnera_fabianii	BHP
Aspergillus_glaucus	Torulaspora_microellipsoides	Cyberlindnera_jadinii	CHM
Aspergillus_wentii	Torulaspora_maleeae	Hanseniaspora_vineae	CGK
Aspergillus_fumigatus	Torulaspora_delbrueckii	Hanseniaspora_uvarum	BRG
